User,Comment
@rezamaulana164,"Cepet kaya usaha yg halal, jgn tegiur judi investasi bodong, ujung-ujungnya PONZI"
@antumhayaro9167,"Bang, lu kok skrg kurusan...?? 🥺🥺 Sehat selalu buat lu bang jerry"
@Abaproperty85,"Tertutup memperlambat otak berkembang, saya tahu crypto dr harga 10 jt, 250 jt, sampai 1,2 M baru sadar SDH ketinggalan informasi masa depan, jgn JD katak dalam tempurung saring infonya manfaatkan peluangnya"
@remonputrapratama8146,"Yg saya bingung, Timothy sdh memiliki BTC dengan nilai fantastis tapi kok masih buka kelas ber bayar…. Ini yg jadi dilema pemikiran saya"
@luckysatyawidhana8520,"Maaf nih saya orang awam, buat yg dukung kelas dia ya terserah aja sih itu logika kalian, kalo memang dia buka kelas buat orang lain jadi kaya? Apakah ada yg sudah sekaya dia yg ikut2 kelas dia? 
Kenapa ga ada dari 9 naga yg sekalian mereka buka kelas juga biar banyak yg kaya, yg jelas2 portofolio bisnis nya."
@kasiyanikasiyani3673,Org Kya sekelas ellon mars sj GK ada kls 😂😂
@manche-007,Itu adlh king khong
@Erwin_Camp,Kocak 😅 kalian kalau mau banyak uang kerja keras lah . Jauh2 deh tipu daya kek gitu 😅
@JejakNitha2025,"Kalau nggak ngomong hiperbola,nggak akan laku nanti jualannya 🤭😄"
@riskiiygaming8755,Yg penting hidup cukup dan ga punya utang itu udh bersyukur bangettt
@luqmanbachtiar1123,lihat orngnya aja udah nek 😂...kalian semua gk usah percaya org yang koar2 di sosmed
@seraphim17911,"Mampus,makan tuh penjilat bool nya timboti gigi brantakan. Lu mamam tuh idol lu calon2 pake baju shopee HAHAHAHA"
@DendaWahyu-d4k,😂😂😂😂
@fajarilmiyanto8133,"Sekolah gk menjamin orng sukses?
Trz gk sekolah menjamin orang sukses?
Korelasinya dimana sekolah dan sukses? Sejak kapan tujuan sekolah itu sukses?
Sekolah itu minimal biar bisa mikir dlu sebelum ngomong, biar gk asal jeplak aja..."
@ngablues,mampus
@gustinugroho119,"tapi masyarakat  kita kalau profit diem diem aja kalau los malah bentuk paguyuban buat minta uang nya balik, dan juga  waktu nge klik buy sama sell itu dengan kesadaran penuh ya diri sendiri. jadi itu sebener nya tanggung jawab penuh diri kita sendiri masa iya mau hidup kita di atur atur orang.  padahal setiap di call mau di forum mana pun dan di kelas berbayar mana pun selalu di semat kan ""DYOR"" bahkan di kelas AH yang notaben nya 15 juta juga kalau nge call saham selalu di semat kan ""DYOR"" kalau emang punya conviction masuk di satu coin atau saham apapun. Disc, ini pure pendapat gua aja soal nya gua ga main crypto juga dan ga bela pihak mana pun,dan gua juga murni solo main di market ihsg dan ga pernah percaya siapa pun!!!"
@yessah-q7r,"Lho kan resiko ada di tangan masing2 individu. Gimana nuntutnya coba. Timoti kan nyaranin bukan maksain. Yg trading kan mereka masing2. Kalo masalah kelas trading mungkin agak beda cerita , tapi timoti kan gak bisa maksain mereka juga ikut kelas berbayar. Terus mereka yg ingin menuntut masalah apa? Kerugian? Atau apa? 🤔"
@RudymangkuloKulo,"TR orang pintar, merekrut orang dengan kepintarannya berbicara serta memberikan angin syurga lewat dunia crypto,.
Nah permasalahanmya,banyak orang2 yang bego dengan mudahnya percaya dengan janji2 manis yang di bungkus dengan DYOR(Do Your Own research).
Statemen DYOR lah yang bakal menjadi TAMENG TR buat cuci tangan"
@ARRIZQI-wkekwkwk,"1:50 relate bangettt emmm ,,si paling Timothy"
@fajarilmiyanto8133,"Bukan pernyataan kontroversial bang, tpi pernyataan goblok.."
@NikaMeiDarmanto,Marketing penipu terlalu bertele-tele kalau ngasih pencerahan
@eliasbonyaktutul2248,"Dari awal emng udh gk beres tuh Timothy,hadehhh..😃"
@device0077,"hidup bukan hanya harta dan tahta, hidup ini cm sekali jd, hiduplah dengan benar dan tidak merugikan orang lain jg menjadi berkat bagi sesama mahluk hidup."
@moviestudio9573,Keren banget kamar jeri
@tatalasmana843,Siapa suruh lu mau belajar ke dia kocak
@bangroms_tiktok,"bng ko skrng lu kurusan dh, pdhl body lu mnding yg dlu😅"
@THEBLACKV2,Ga ada yang berani bikin konten kesedaran kayak gini😢
@RuslanAbdulgani-p8p,Gantung aj d monas si Timothy
@lugasal3378,Yakali ada orang yg kaya dgn cara bener tapi suka omon omon sampe bibirnya pecah pecah😂😂😂
@alzanalzzea,"namanya invest, untung rugi pasti ada. Keputusan ada ditangan lu. Belajar yang bener jgn salah ambil langkah"
@DefAja-q7n,"Crypto altcoin Bitcoin tenar dipakai buat transaksi di darkweb deep web, sekarang pake coin monero yg bersifat anonim jaringan block chain"
@AbdullahsimanRantisi,udah bener dagang nabi pun mengajari kita itu dagang
@cahkidal15,"daripada masuk kelas timothy, mending gw ambil kelas Benix"
@iyan1khz,"Dari awal lihat konten si doi, gw udah beda. Di pikiran gw, lu mau kaya instan silahkan asal lu tahu resiko jatuh juga lebih gede lagi, itu ga masalah asal lu bisa bangkit lagi jika modal lu gede.
Ngapain juga si doi buka kelas kalau semudah itu dia dapetin uang tanpa resiko.
Ingat si doi awalnya kaya gimana dapet modal juga dari cara jualan yg pinter.
Berbisnis itu seperti naik tangga satu persatu. bukan langsung loncat ke ujung😂
kasihan juga sama nitizen yg mengkultuskan si doi😢"
@ariemarboent2409,"emang ada orang kaya (yg benar2 kaya) suka mengumbar2 kekayaannya? Warren Buffet, Mark Zuckerberg, Bill Gates, Satoshi Nakamoto, Elon Musk, dll gk pernah sering sesumbar tentang kekayaan pribadinya. 
Jika dia sesumbar dgn kekayaannya, ya biarin aja.. memang benar dia kaya, tapi attitudenya gk usah ditirulah klo memang ada kesempatan jdi orang kaya. Ambil yg baik2nya aja, buang yg jeleknya.."
@civicpradewa,"kayaknya orang2 yg mw nyeret dia, bakal susah deh,
backingan dan kenalannya orang2 gede. 
ada Hotman dan orang2 lain.
sangat beda dengan Indra kenz.
beda kelasnya juga.
kayaknya Timothy ini memang udah beda dimensi. meski udah dihujat hampir 1 Indonesia."
@BangDerr-h3i,"Kalo menurut ku Timothy tu pinter cuma sombong sama kata""nya sering ngasal, ""Contoh"" Gw aja gak sekolah bisa sukses"", dia gak mikir anak² sekarang gampang percaya, jadi mereka suka ngelawan orang tua, dan malas""an sekolah. Gimana mau maju ni negara kalo gak ada lagi yang mau sekolah, gw gak benci cuma kata²nya itu yang kurang suka."
@DiyoZ-o7x,Tim of🤬🗿
@omanlah371,"skyholik nih drama nyawer 8,8k dolar ke orang ramdom karna gabut kebnyakan uang  😂"
@rudipeger5511,Video jembut
@wahyukasogi,"gw dulu suka banget nonton dia, dan gw juga dah lama dikripto, gw maen kripto bukan karena dia tapi kemauan sendiri dan udh belajar dari jaman binomo sih, yaa kalo hasilnya karena gw mahasiswa cukuplah buat menuhin diri sendiri dan beli beberapa barang impian² kecil gw, kenapa gw nonton dia karena g dia aja, banyak salah 1nya tujuan buat kuliah kehidupan aja dari sosmed, banyak sih g hanya dia, kayak raymond, onepersen dan banyaklah. dan untuk skyholic jujur gw suka drama gede ini😂 bahkan gw mau liat endingnya. karena ada pihak tim dan holic, saya tim nonton saja😹 1 hal pesan gw dari apapun dan siapapun jangan pernah nelan mentah² dan lihatlah yang kamu lihat dari sisi manapun"
@Djancok480,Yudo Sadewo
@AzmdnFzn,ngak kaget sih.. orang kek dia bukan cuman dia udah banyak sebelom nya yang seperti itu..dan bodoh nya orang orang masih percaya..
@elchaportune,"Saya curiga pada akun TT yang sering bahas LIQUIDATION MAP
namanya berinisial D"
@AldianKurniaRamadhan30,The next indra kenz haha
@DotsSky12,Orang bego yang percaya investasi saham atau sejenisnya di aplikasi
@irfanrifai6868,"Ada udang dibalik bakwan..
Ada big money di belakang TR..
Mana ada tukang ngopi 80k bisa tiba2 booom hartanya gara2 maen crypto cuma dri 2019..
Warren buffet aja belajar investasi puluhan tahu.."
@DotsSky12,Orang bego yang percaya
@YohanaGirl9,awal kehancuran karir = Kesombongan
@pengangguranlama4072,Logika aj yah para pemuja timoty yg tolol2..... Kenapa gk nebeng aj duit klian dari permainan cripto timoty klo mau kaya smua.... Mau aj klian d tolol ini lingkaran setan china
@TrioTeja,"Sihilic nih om"" tp ngikut all in yg katanya masih bocil
Duh lu lebih parah keknya ngikutin yg katanya masih bocil"
@rsgr-net,"Menurut dia, sekolah itu scam tapi kok malah bikin akademi yang notabenenya mengajari / menggurui.
Mark Zueckerberg, Bill Gates, Steve Jobs, mereka semua emg pada kuliah tapi mereka buat software, produk, atau aplikasi. Bukan jualan kelas.  Ga belajar tapi mau ngajarin dengan alasan pengalaman yg notabene masi seumur jagung. Berapa banyak MLM, Ponzi scheme, dll yang menggunakan metode flexing kekayaan. Kalo yg dulu"" mungkin dibikin ponzi kalo ini murni jualan kelas.
Sebetulnya kalau kita telaah balik justru yg jadi muridnya itu harusnya waspada dengan sinyal yg diberikan karena pada akhirnya MArket Manipulation akan terjadi. Dia sudah megang crypto atau saham itu diawal abis itu kasi sinyal ketika naik dia lepas deh (shorting). jadi ya ujung""nya seperti keluhan muridnya. sinyalnya ya ga bener karena hanya jadi sinyal palsu semua.
Sebenernya kalo mau belajar ilmu kripto gratisan banyak bgt di youtube tapi memang banyak bgt yg bahasa Inggris. jadi mendingan yang pada mau investasi silahkan deh investasi belajar bahasa dulu baik bahasa Inggris, Cina, German, Perancis, dll.

Jadi keinget para habib palsu yang para muridnya malah dijadiin pion untuk keuntungan pribadi. disuru demo ikut demo, disuru setor uang nurut setor, dan lain lain nya.


Inget guys, kalau niat mulia ingin mengajar dan membantu itu ga bakal buka kelas. pada akhirnya ya kelasnya untuk jadi sumber pemasukan tetap, dan market manipulation dengan menggunakan bantuan membernya yg mengakibatkan gurunya untung muridnya buntung."
@JulehaAnastasy,"SKYHOLIC888 Adalah salah seorang whale crypto, pemilik mobil dengan plat nomor * 888 NG wkwkwk sekali withdraw 20 Miliar, salah satu mobilnya Porsche 911 Warna biru 💙🤪"
@nanangmuhammad2067,Kalau mau belajar bitcoin itu belajar aja sendiri ngk usah ikutin dia😂😂😂 btc dari dulu juga naik teros..
@tony_struk,"Karna mulutnya terlalu....
Kebanyakan ngatur hidup orang"
@Tukang_Haji_Naik_Bubur,"🤣🤣 dia kaya krna buka kelas. Kelas juday online awokaowkaok hari gini masih percaya kalo trading / btc itu kaga juday online??  Sama kek slot, bedanya trading ga ada perkalian, ga ada petir😂"
@Deminiamendrofa-mo6km,"Nipu orang Indonesia mah gampang😂 tinggal pamer harta aja udah bikin mereka silau.😂
gampangnya klo dapet duit secepat itu dia gak akan ngajak orang buat join.😂
klo mau kaya jadi koruptor aja.😂
Daripada duit milyaran dipake buat crypto mending buat nyalon jadi penjabat korupt. Sel tahanan koruptor juga beda.😂 Banyak fasilitasnya.😂"
@1qb4l55,Judol berkedok aman😂😂
@cocofun4892,"Jadi ke ingat, waw murah banget"
@terlahirnoob1845,"Trading apapun jenisnya entah krypto, bitcoin, apapun itu ga sesimpel tebak grafik naik turun doang, instrumennya banyak, faktor yg mempengaruhi naik turunnya grafiknya banyak, ga cukup lu belajar 1-2 bulan trus instan kaya. Kalo lu males belajar mending jangan coba2, gw belajar dari 2016 sampe sekarang masih ngerasa bego, kalo ada bocah baru kemaren belajar langsung ngaku jago, flexing sana-sini, besar kemungkinan yg dia flexing bukan beneran dari hasil trading"
@brewogshooter2259,"Ah mereka hanya ingin kaya instan tapi otaknya tidak mendukung 😂😂😂
GOBLOK itu si holic😂"
@rdschannel9236,Waktu menang senyum tertawa bahagia kalau kalah mau tuntut ini anak kecil atau pria dewasa😂😂😂😂sky holic cuman irihati sampah jg bersembunyi kalau gentle muka kamu nongol..sayang sekali kamar jeri yg awalnya profesional tertangkap signal =sky holic org yg cuman iIRIHATI atas kesuksesan seseorang😂😂😂😂😂😂😂😂😂wkwkkwkwkwkw
@MargaNa-w5l,Dari awal saya tidak pernah suka liat video Timothy ini
@latifkuncorosd,"Saham bit coin ,,cripto curency  apakah sama seperti perjudian online .?"
@Kang_copass,Kebnyakan pemikiran atau pemahaman skolah scam itu bnyak yang krliru dan memang brrpikirnya blum nyampai wkwkwk mkanya bnyak yang salah paham
@HerlinAgustin-v5j,Kurus amat bro
@fajarmaulana273,"Jualan yg paling laku
Jual surga
Jual harapan
Jual mimpi"
@RGondrong-oi9ql,Judi kok nyampe buka kelas.
@dherwita2896,Padahal mau beli bukunya 😅😅
@temengeser,Kena juga si sombong itu 😅
@latifkuncorosd,Bisa kaya..aliran dananya dari mana? Semacam bitcoin dan lainnya halalkah?
@romifree10,Masih aja ada yg ngikut bginian tolol
@Exsori90,Seseorang seperti Timoty suatu saat pasti akan mengalami dunia terbalik dia masih muda tpi gayanya seperti orang yg sdh kenyang makan asam garam namun dikehidupan ini semua itu ada masanya..
@akudankau1241,Indra ken 2
@aghuzmuhidin7150,"menurut gw, jaman sekarang sudah masuk ke information filtering bukan lagi need information. gak peduli seberapa buruk orang atau seberapa problematik seseorang kalo yg disampaikan bener dan masuk ke logika lu sehingga lu jadi lebih produktif, lu jadi giat lagi kerja ya ambil. termasuk gw, sorry ini bukan pembelaan tapi tentang apa yg gw rasakan, gw jadi lebih aware sekarang tentang waktu dan finansial berkat di gobl*k²in sama dia. pada awalnya jg gw tersinggung, tapi makin lama ikutin dia gw makin terbuka dan sadar tentang finansial ya walaupun baru dikit."
@RasaPasta,Sdah kudugaa
@NarutoSipbuden8,Kan dia buat buka kelas Emng di buat mahal supaya gk ada yang mau masuk kelas dia tapi bang😂😂
@bagusteguhsantoso1216,Skyholick888 wkkwwk ngeri
@laodemuhamadidrusrazak4101,Cukup baik di bungkus‽
@petu27,kepanjangan penjelasannya......Timotius banyak juga positifnya mengubah mindset positif
@katahati-s1l,"Maknya gw males bgt nanggepin orang sok pinter dan tolol di negara ini ntr di ceramahin malah sok pinter , bro ibarat gini lu ke dukun pengganda uang klo emng itu dukun bisa ngapain buka jasa ,dia kaya dg mudah instan nggk bakal ngajak lu yg bukan siapa"" bukan keluarganya itu cuma marketing nya dia😂 lu cuma di manfaatin 10 jt x berapa membernya kasian lo yg ikutan dia pamer kekayaan karna itu umpanya dongok😂"
@hassanimustafa2336,Holy wings di Batam baru buka belum lama udah tutup
@kulinusantara-p8b,Dari dulu nyampe skarang masih ada orang yg percaya orang bisa bikin kaya orang. Dulu orang ketipu karena ada orang pinter yg bisa menggandakan uang. Bedanya skarang tehnologi. Bayak yg rugi aja masih aja percaya. Logika mana mungki orang kaya mau bukak kelas. Suruh itu criptonya di cairin ke uang beneran bisa gak. Apa bayar tu mobil pake cripto
@M_A-u7v,Dia korban Timothy 😂
@wahyuampera5990,Spill perkataan Timothy yang mengajak orang harus gabung Ama dia dong bang
@rizkikurniawan4715,Lah emang gitu...timoty ini pasti penipu...ngak ada didunia ini cepet kaya instan
@alisyarof,Dia omongnya doang tinggi. 😂
@Shine.chanel12,"Pernah denger di tiktok siapa gtu, dia wawancara org” kaya dengan pendapatan miliaran, dan dia tanya tentang pandanganya ttg timoty ini, inget bgt aku katanya begini” yang seperti timoty itu 1:1000 org yg sukses dri crypto, dan kalian juga gaktau mereka bneran sukses dibidang itu atau apa hanya dibayar untuk bikin org tertarik main crypto, klw mau kaya ya tetap kerja”fikir"
@andreasalangi8535,Analisa abal abal
@SoCute-xb5mj,"Aku Trder di dunia Crypto tapi bukan pengikutnya Timoty.
Penghasilanku sudah lumayan  karna aku pelajari Dasar2 dunia digital Cryptocureency."
@Graceline-j9g,"menurutku, kehadiran timoty sangat memotivasi banyak orang untuk mau berkembang dan maju dan pemikiran yg terbuka, termasuk aku sungguh bersyukur melihat video2nya,  menyesal baru sekarang denger video3nya. Bangga melihat ada pemuda indo yg sangat menginspirasi dan hebat"
@verundra,"wkwwkwkwk...akun ""anonim""???.. jlas buzzer, haters doank yg sirik dgn ksuksesan orglain. kmudian menghasut..
njirrr,, 2026 udh muncul aja si dajal.. :v 
SDM rendah, pngen cepet kaya tp gk mau resiko, rungkad teriak2.. ewewewewewew
kenyataan, timoty itu cerdas, punya ilmu dan punya skill masalah ekonomi dan financial"
@NainulisNainulis,Bang bahas ritsu konten kreator indo yang masak jorok yang tinggal di jepang
@michealwsenja541,"Terusuri dev koinnya siapa,, dan yang menyarankan bay itu koin siapa.. Takutnya kong kali kong dibikin crash juga bisa😂😂"
@tupaisakur6096,sekolah itu scam dari segi sistemnya tp cuan dari segi bisnis itulah mindset timotod
@ncus88,bang jery ko kurusan sekarang apakah lagi ada program diet??
@RiyadhMunti,"Aku sih ambil ilmunya aja 
Kan bisa di pakai di manapun, selagi kita masih mau cari cuan yang halal,
Ngga harus gabung sama Timothy"
@RAMXTRADE,"21:38 sebenernya ga ada salahnya ucapan dia, resiko itu di atur oleh tangan kita sendiri, apa gunanya orng orng mempelajari risk management klo ga di gunain?
Buat apa belajar teknikal klo ga di gunain ilmunya, saya juga sebelum membeli suatu aset ataupun koin analis dulu marketnya gimana, market ga selalu muluk muluk tentang profit, market itu punya waktu, ada waktu bear market dan ada waktunya juga bull"
@fbrnsptra-x1s,😂
@generasicreator3634,TIBOTHY.... MERESAHKAN 😅
@AnimalInsight60,gimana ya cara menyadarkan abang gw🤔
@widyrachill9593,Gua Inves juga dan gua ga berpihak Timothy tapi menurut gua emng membernya yg goblok bisa dibilang fomo.
@SuhadiBbn,"jerry kek kurusan ya? Dah lama gak buka youtube gua,Terakhir gua lihat 2022 masih agak berisi badannya sekarang kurusan lebih bagus lagi ya."
@mikeygreey,"Tidak pernah nonton atau tertarik tentang cripto, timothy dll"
@evadedik8128,Cripto itu apa sih apa jenis judi. Taruhan naik turun
@pamalasbalax,"Kalian pernah mikir ngga, mereka yg katanya kaya dari cripto, saham dll itu kan udah kaya terus buka kelas dgn harga diatas 10 juta,,, apakah kalian bisa dpt lebih dari itu 😅

Gw komen gitu ntar ada yg balas ahh tolol Lo,, mental miskin lo😂"
@inviniteRelaxation,"Mayan ni adsensenya satu video bisa dapet jtaan,rpm indo 30ribuan lebih x 600ribu view,,"
@vicojeriko9457,Pengikutnya dangkal
@victorianusmahendradalopez605,Kaya secara instan itu mustahil..semua ada proses..ingat itu anak muda 😂
@Hasbiyupyup,Mending main airdrop sat set cair
@vjvcnkkad,Padahal dia iklas loh ngebantu banyak orang pemikiran nya di bagikan ke banyak orang ilmu ya mahal di bagiin secara gratis loh. Masih bagus bikin vidio biar pemikiran kita luas bikin sekolah ga banyak orang kaya baik mau bantu orang yang berkembang
@annomangaming4299,Yang comen banyak yg buzzer
@putrajr5227,"Udah dulu awalnya gua juga ngikutin kok makin kesini malah kaya seles kripto, akhirnya gua stop dah Alhamdulillah nya ga sampai main kripto, dari pada nonton tuh orang mending nonton Andrew Susanto dia real ada buktinya ada perusahaan nya , dan dia juga tidak percaya kripto"
@wisata_bandung,"Anak crypto ketawa denger drama ini. Gw gak suka timoty tp lebih gak suka dengan orang2 b0d0h yg mengikuti omong besarnya tanpa pakai akal ingin jadi kaya instan. Perlu diingat hukum crypto kalau ada yg TP dipastikan ada yg CL atau nyangkut, gak ada yg Untung semua 😂😂ingat itu. Ini pasti para member CL yg lapor trus dikomporin 🤭, untung diam rugi lapor polisi 😂pasti duitnya hasil P*n j0l 😂. Makanya jangan main koin micin yg pump diakalin whale ,timoty gak akan bisa ngakalin BTC, ETH . Member2 timoty pasti dikomando di koin micin dan anak crypto sudah tau resiko disitu dimainin whale ,gak bisa untung semua , pasti ada yg rugi tp whale pasti untung  😂😂😂 member2 kocak jgn hanya pengen kaya instan pake akalnya dikit jgn hanya pake nafsu pengen kaya!! 😂"
@Joko_kelono,"Personal branding nya ok 
Yg bodoh member nya 😅😅"
@RAMXTRADE,"Menurut analisa gua akun skyholic terlalu ngurusin banget, sampe hubungan agatha chelsea juga di kulik kulikin wkwk"
@hendray75,Kena karma ngatain LKH 😂😂😂
@Timothy112-m5t,Nih orang cari viral cari momentum 🤣🤣🤣
@rayyanzza1,"*_gini,orang itu cenderung pengen instan, ketika liat dan dnger dia kaya dgn cara itu, maka apapun yg dikatakan orang yg kaya instan itu diikuti, Timothy buka class academy crypto,dan buka exchange floq,. Timothy duluan beli coin yg murah,dan ketika dia bilang coin itu bakal naik,yg beli banyak,maka harganya naik,dan Timothy jual,maka yg menang jelas 😂😂_*"
@AhmadFauzii-e2b,"Intinya orang yang mengaku punya crypto lah apalah itu nmanya, itu pnipuan, sma aja kyak judi, mna ada org cari uang sesantai itu, yg ada klau cari uang hrus banting tulang, apalagi klau sdah buka member dan belajar dikelasnya, percaya lah, itu cuma boongan, dan itu uang yg kt bayarkan di kelasnya ga ada gunanya, karena itu uang sdah msuk ke rekening si pelaku, gue pernah penasaran ikut kelas² member bgini, untung aja ga mahal, stelah gue coba ikuti kelasnya, cuma aneh aja sih, kt disuruh cari org lgi untuk gabung dikelasnya, dan ga ada isi dari kelasnya itu, intinya mereka cari uang dari kedok kelas yang mereka buat"
@rioanugerah1678,Followers nya yang tolol
@RobertusVitoWijayanto-y6l,Timothy Ronald sok sok itu bang ngatain orang olahraga goblok. Itu orang penipuan cripto terbesar di Indonesia. Sekarang dia pacaran sama Agatha Chelsea bang jeri
@burhannudinburhannudin4672,Timothy?? Dia itu orang kagetan aja yang sedang punya banyak duit🤣🤣
@RizkiFebrianto-s7p,"gini ya analoginya teman2 terserah lu deh mau ngefansnin apa mengagungkan Timothy terserah lu , jd gini analoginya teman2 resep rahasianya kfc atau apapun itu tidak di umbar di media masa , jadi orang kaya ngajak kaya itu gak masuk akal banget,  soalnya jadi kaya itu ada caranya masing-masing dan rasionalnya yaitu bisnis cara jadi kaya dan itu pun gak sesingkat itu dan harus dg perjalanan yang panjang sambil belajar sambil di jalankan , kalo jual kelas itu ya untuk menarik pelanggan ya dg marketing ngajak orang jadi kaya"
@ghaliejhie8432,Sdh sering dijelaskan jika bermain crypto itu harus ada yg kalah kalau mau ada yg menang
@RAMXTRADE,"1:13 bodo amat lu semua pada ngomong apa, yampenting berkat timothy ronald hidup gw jauh lebih baik"
@omprengkuno,Orang paling songong ya ini si TIMONTODD
@ArsakaDarvesh,Mana ada santai santai modal 10k ingin jadi milyarder
@pangondianharahap675,Tu org mulutnya belagu parahhh
@Idstory7,WONG JOWO
@faniistifham9760,Merdeka.. Merdeka.. Merdeka... Ora Umum!!! 🤣🤣🤣🤣🤣
@MUHAMMADRIDWANARSY,Gw aja kemarin sempat nonton oranf live lagi trading di tiktok terus aku komen tuh bilang PENIPUAN GA CUKUP SATU MENIT AKUN SAYA DIA BLOKIR ATAU DIA NON AKTIFKAN BIAR KOMENANN GW GA MUNCUL LAGI DI LIVENYA WKWKWKW KAN LUCU.😂😂😂😂😂
@bellasafitri3710,Liat mukanya aja gua langsung skip😂
@martinCludz182,Gua mau donk kerja jadi komentar aja di sosmed @bangjeri @kamarjeri
@NanangFrdwn,Belajar lah dari yang dulu2 bnyak sales judi berkedok kelas2
@frank45_,garap testnet nyimak aja ah
@deddykurniawan435,kalau ak udh curiga dari awal dia itu cuman seles big coin
@ummydjadjata3995,Reza arb 💀
@sogodlhoss4061,"Ingat, orang kaya tidak akan mau orang lain juga kaya."
@contentreactor727,Bacot ini podcast 😂👎🏻
@ariwibowo_txt,Lu kaya kurusan
@mhztoktikstar8897,"Ini akibat sering x bilang orang goblok , bodoh dan tolol akhirnya kena karmanya"
@AfdanAffan22,"Gua ngga perna tertarik sama Tu orang, Mau kek kaya kek mau kek ikuti cara gua Jika kamu ingin sukses, sory bro gua bukan, Pewaris gua perintis, dan ngga tertarik sama sekali, Ngga demua Rezky Sama Kek yang lain, Udah masing"" ajah,  apa lagi sampe ngejudge,Orang"" tolol/bodo, Merasa Dirinya Yang punya kuasa sehingga Orang"" bakal Ikuti sama Omongan nya sory Gua ngga tertarik, Bahkan Gua blok konten "" dia tu,"
@NewA-s7t,Indraken v2 ini siap2 aja
@achsanachwan5279,Mending aktifitas lainy gak sih dari pada nyari tau siapa  pemilik akun itu bang😂😂😂
@ismarizalll,mana nich pendukung simata 4😂
@KapnLgi-qy5ns,"gw juga udah curiga ama dia🤣 bilangnya mau bantu orang jadi kaya, tapi buka kelas gak ngotak."
@Rizz_art08,Gw yang dari awal liat dia udah ga suka sama statmentnya juga
@Tres-r5q,"Lagian orang"" Pada goblok ngapain percaya sama si timoty cuman tergiur kaya dngan cara instan,pengen kaya tuh kerja keras goblok bikin bisnis dengan nyata"
@DharmaMahesa89,"1. Timoty dikatakan nipu jika SEMUA anggota kelas rungkad, kalo ada yg rungkad ada yg cuan itu bukan nipu
2. Timoty sama Indra Kenz jelas beda boss, indra kenz jelas2 spam. timoty bukan scam
3. Skyholic = member yg rungkad, kalo cuan diem diem bae, tapi kalo rungkad jelek2in timoty
4. Timoty ngga akan bisa dipenjarain, karena itu bukan penipuan, tuduhan skyholic akan mental kalo diajukan. Beda dg kasusnya indra kenz, yg mana itu benar2 penipuan dan scam , mudah banget buat polisi utk menjarain indrakenz, tp utk timoty, polisi ngga kan bisa menjarain"
@arifinrifin7645,"dari dlu timothy r dilaporkan tapi tidak pernah terbukti salah , nyata nya sekarang aman² aja😂"
@huanurnur1800,"2023-2024 awal kemunculan si gigi kuning, dpt titel raja kripto tai kucing. buka kelas belas samapai puluhan juta, apa kabarny member lu yg sangkut di token manta, lucu bgt anjir. emng orng2 tolol yg join kelasnya si gigi kuning"
@Itoshaqi15,Bang Kok lu kliahatan kurusan. Apakah lgi sakit atau lgi diet?
@JambuAir-g3x,Yg follow timboti fiks orang2 dong ok 😂😂😂😂
@mblarak_sempaL,"WKWKWK, baru pada nyadar😂🤣 y bagus lahh
Dari awal bbrp kali liat videonya taun lalu geenak didenger disimak dirasakan jg vibrasinya, liat komuknya jg bener2 g nyaman. Palagi mulai bikin studio dan visual lebih cling. No no no
Bulshittt ni orang. Keknya bacotan doang, y wktupun membuka semuanya
Dah lah masa bodo."
@r1nshikawa,bego banget yg nganggap skyholic adalah timothy....ckckck
@alamikanklip,"menduga duga, mungkin mungkin, kayanya, mungkin, diduga, kayanya, sepertinya"
@Unyilneverdie155,Si Timo itu sebetulnya niru Andrew tate
@chandrawangka6600,"Masuk dunia crypto itu belajar dulu, bukan ikut rame. Masalahnya average orang Indo males riset, maunya instan. Akhirnya mindset ke-lock sama konten-konten yang isinya itu-itu aja, bikin stuck dan nyalahin orang lain pas rugi. Di market, tanggung jawab tetap di diri sendiri, bukan di konten atau kelas mana pun."
@tegarWisudawan-w5k7u,Up
@Ydtzy,😂😂 hidup ga semudah kata kata bro 😂 dia bilang ini itu ini itu coba dia ada di posisi kek saya auto pucat muka nya😂
@Someone-xzone,Bitcoin no 1 love ❤
@Forex_Int,Apa yang salah dengan kelas? Jual beli atas dasar kemauan sendiri. Kecuali jika ada indikasi titip dana investasi baru itu masalah.
@SYAIFUlSYAIFUL-g3l,Bikin konten numpang di nama timoty
@ooreedo,baru disini saya nonton si timothy
@nananghardirisanto671,"Yg nuntut teman sendiri
Propaganda"
@toleptube,"Jika ada public figur yang menyatakan ""Sekolah ga penting"" ngeri juga kalo banyak pengikutnya, kayak ""negara yang mau jajah suatu negara secara halus"".

Ngerti kan maksud gue bro?
Ada udang dibalik bakwan."
@hurahura18,Bocah kemaren kek udh pling bnyak makan garem tanah minyak jelantah aja
@rani-i9y7n,"Mantap bang penjelasan dan pemahaman ny, untuk kedepannya bisa lebih waspada 

Semoga lancar rezeki ny bang"
@taden9546,Aku lihat lewat beranda tik tok kek nya sombong orang nya langsung aku skip. Ada yg sama ngk sih
@AnnisaHadi-r5f9r,"Netizen aja yang kurang pintar, kalau saya tetap dukung king Timothy ronald"
